Restaurant Name,Type Of Restaurant,Address,Contact,Rating,Menu Url,Live Location,Website Url,Instagram Url
The View Restaurant Dubai,Restaurant,emirates grand hotel - Trade Centre - Trade Centre 1 - Dubai - United Arab Emirates,+971 52 107 8870,3.8,,https://www.google.com/maps/place/The+View+Restaurant+Dubai/data=!4m7!3m6!1s0x3e5f4330d2ce4335:0x314be8937c9390cd!8m2!3d25.2114848!4d55.2743482!16s%2Fg%2F11s9h66w_x!19sChIJNUPO0jBDXz4RzZCTfJPoSzE?authuser=0&hl=en&rclk=1,http://www.emiratesgrandhotel.com/,https://www.instagram.com/emiratesgrandhotels/
Calabar Aroma Restaurant Dubai,African restaurant,Emirates Financial Towers - Trade Centre - DIFC - Dubai - United Arab Emirates,+971 56 488 1114,4.6,https://order.calabararomadubai.net/,https://www.google.com/maps/place/Calabar+Aroma+Restaurant+Dubai/data=!4m7!3m6!1s0x3e5f4395f85c482d:0x1820343dc4223164!8m2!3d25.2085919!4d55.2765573!16s%2Fg%2F11swn788qc!19sChIJLUhc-JVDXz4RZDEixD00IBg?authuser=0&hl=en&rclk=1,https://order.calabararomadubai.net/,https://www.instagram.com/calabararomadxb/
Amritsr Restaurant Al Attar Center- Indian Restaurant in Dubai,Restaurant,Al Attar Center - 318-836 - Al Karama - Dubai - United Arab Emirates,+971 4 327 8622,4.6,http://www.amritsruae.com/menu.html,https://www.google.com/maps/place/Amritsr+Restaurant+Al+Attar+Center-+Indian+Restaurant+in+Dubai/data=!4m7!3m6!1s0x3e5f43ce12980285:0x8ba79d7bd6d82c94!8m2!3d25.247867!4d55.3004925!16s%2Fg%2F11h4t6gqf3!19sChIJhQKYEs5DXz4RlCzY1nudp4s?authuser=0&hl=en&rclk=1,http://www.amritsruae.com/,https://www.instagram.com/amritsruae/
The Restaurant at Address Fountain Views,Restaurant,Address Fountain Views - Level 12 - Sheikh Mohammed Bin Rashed Boulevard - Downtown Dubai - Dubai - United Arab Emirates,+971 4 245 8888,4.7,,https://www.google.com/maps/place/The+Restaurant+at+Address+Fountain+Views/data=!4m7!3m6!1s0x3e5f69a05da05715:0x1fad4dfc6c957681!8m2!3d25.1948595!4d55.2829454!16s%2Fg%2F11l2zm1r_4!19sChIJFVegXaBpXz4RgXaVbPxNrR8?authuser=0&hl=en&rclk=1,https://www.addresshotels.com/en/restaurant/the-restaurant-at-address-fountain-views/,https://www.instagram.com/addresshotels/
Mint Leaf Dubai,Indian restaurant,"Emirates Financial Towers - 15th Floor, South Tower - DIFC - Dubai - United Arab Emirates",+971 4 706 0900,4.6,http://order.chatfood.io/g/mint-leaf-of-london,https://www.google.com/maps/place/Mint+Leaf+Dubai/data=!4m7!3m6!1s0x3e5f428f470fe701:0xf4e538dfa5231870!8m2!3d25.2085919!4d55.2765573!16s%2Fg%2F1q69mjf8s!19sChIJAecPR49CXz4RcBgjpd845fQ?authuser=0&hl=en&rclk=1,http://www.mintleaf.ae/,https://www.instagram.com/mintleafdxb/
The Restaurant At Address Boulevard,,,,4.7,,https://www.google.com/maps/place/The+Restaurant+At+Address+Boulevard/data=!4m7!3m6!1s0x3e5f43934f994f63:0xdde9e870c47406ff!8m2!3d25.2007372!4d55.2763065!16s%2Fg%2F11q24lb20t!19sChIJY0-ZT5NDXz4R_wZ0xHDo6d0?authuser=0&hl=en&rclk=1,https://www.addresshotels.com/en/restaurant/the-restaurant-at-address-boulevard/,https://www.instagram.com/addresshotels/
The Rotisserie,Restaurant,King Salman Bin Abdulaziz Al Saud St - Al Sufouh 2 - Dubai - United Arab Emirates,+971 4 399 9999,4.6,,https://www.google.com/maps/place/The+Rotisserie/data=!4m7!3m6!1s0x3e5f6b46d1a028f1:0xe2d9f2c980fd98b5!8m2!3d25.0996035!4d55.1539771!16s%2Fg%2F11bbwn0y10!19sChIJ8Sig0UZrXz4RtZj9gMny2eI?authuser=0&hl=en&rclk=1,https://www.oneandonlyresorts.com/royal-mirage/dining/the-rotisserie?utm_source=GMBlisting&utm_medium=organic&utm_campaign=OORM-the-rotisserie,https://www.instagram.com/ooroyalmirage/
Mumtaz Mahal Indian Speciality Restaurant | Best Restaurant in Bur Dubai,Indian restaurant,Arabian Courtyard Hotel and Spa - Al Fahidi St - opp. Dubai Museum - Al Fahidi - Dubai - United Arab Emirates,+971 50 450 3794,4.4,,https://www.google.com/maps/place/Mumtaz+Mahal+Indian+Speciality+Restaurant+%7C+Best+Restaurant+in+Bur+Dubai/data=!4m7!3m6!1s0x3e5f433f2ba68747:0xf343f1cb58b5f6d4!8m2!3d25.2626052!4d55.297468!16s%2Fg%2F11b7q14xbn!19sChIJR4emKz9DXz4R1Pa1WMvxQ_M?authuser=0&hl=en&rclk=1,https://www.mumtazmahalrestaurant.com/,https://www.instagram.com/mumtazmahalrestaurant/
CÉ LA VI Dubai,Restaurant,"Tower 2 - Level 54, Address Sky View Hotel - Sheikh Mohammed bin Rashid Blvd - Dubai - United Arab Emirates",+971 4 582 6111,4.4,https://linktr.ee/Celavimenus,https://www.google.com/maps/place/C%C3%89+LA+VI+Dubai/data=!4m7!3m6!1s0x3e5f4332316a067d:0x8191c3616de13503!8m2!3d25.2020725!4d55.2706911!16s%2Fg%2F11fp3j5b40!19sChIJfQZqMTJDXz4RAzXhbWHDkYE?authuser=0&hl=en&rclk=1,https://www.celavi.com/en/dubai/,https://www.instagram.com/celavidubai/
Al Shorfa Restaurant & Cafe,Restaurant,"Trident Grand Residence Tower, Opp. Le Royal Meridien Hotel، JBR - Dubai - United Arab Emirates",+971 4 452 5254,4.2,https://www.alshorfadubai.ae/menu,https://www.google.com/maps/place/Al+Shorfa+Restaurant+%26+Cafe/data=!4m7!3m6!1s0x3e5f43176659749b:0x221c23492d75786c!8m2!3d25.0833176!4d55.140882!16s%2Fg%2F11b6x_b2gz!19sChIJm3RZZhdDXz4RbHh1LUkjHCI?authuser=0&hl=en&rclk=1,http://www.alshorfadubai.ae/,https://www.instagram.com/alshorfadubai/
